RSN,HPLVL,HPEXP,TOTLVL,TOTLVLADJ,VIRLVL,VIRLVLADJ,TOTEXP,TOTEXPADJ,CMBLVL,CMBLVLADJ,CMBEXPADJ,RSCORE,TIME
9HP Rekt,9,1015,1376,1377,1376,1377,42835754,42835893,58,58,2186011,,1775164138
9HP Saab,9,1000,2751,2752,2772,2773,583974590,583974744,110,110,53978500,2660,1775164139
9HP Skillin,9,1024,1737,1738,1737,1738,116918209,116918339,27,27,23471183,,1775164142
9HP Waikato,9,1044,1799,1800,1802,1803,311625017,311625127,56,56,1091411,2945,1775164143
9HP Xavier,9,1000,457,458,457,458,873937,874091,35,35,302810,,1775164146
9HPs,9,1000,2869,2870,2891,2892,720980106,720980260,116,116,111463926,6560,1775164147
9LP,9,1112,2512,2513,2524,2525,494687399,494687441,80,80,171376021,3470,1775164147
a 99 b4 next,10,1171,617,617,618,618,82466248,82466231,57,57,2983771,,1775164150
A gentFalcon,12,1599,1128,1126,1128,1126,147318514,147318069,46,45,6023946,,1775164153
A gentMacaw,10,1319,1075,1075,1075,1075,134978680,134978515,41,41,5850122,,1775164156
A gentOsprey,10,1333,1116,1116,1116,1116,149216344,149216165,42,42,6021147,,1775164161
A gentPigeon,10,1345,1102,1102,1102,1102,140418465,140418274,42,42,5967755,,1775164164
A Lone Wolfy,10,1320,2778,2778,2879,2879,1411886471,1411886305,118,118,206523613,,1775164167
A Lv Too Low,11,1430,2142,2141,2179,2178,686529632,686529356,45,45,200930182,,1775160515
A Pet A Time,10,1154,1013,1013,1064,1064,313460726,313460726,73,73,115818023,1280,1775164168
A Pure 101,10,1154,1506,1506,1506,1506,153318392,153318392,9,9,102718,,1775164172
A Pure 202,10,1154,1332,1332,1338,1338,88225940,88225940,12,12,742358,,1775164175
A6O,10,1154,140,140,140,140,1675104,1675104,28,28,1671061,,1775164178
Activeertje,10,1283,1518,1518,1518,1518,14064355,14064226,73,73,3452570,1375,1775164181
Actuality,10,1154,2111,2111,2128,2128,370007046,370007046,15,15,19294450,2605,1775164181
AFK Justin,10,1154,1905,1905,1914,1914,169840444,169840444,53,53,2291360,,1775160533
afk sir,10,1233,2899,2899,2960,2960,1072084916,1072084837,118,118,115578180,4950,1775164188
Ah Sacome Ne,10,1195,1746,1746,1746,1746,309140662,309140621,42,42,200001154,,1775164190
Ahhole,14,2278,1435,1431,1435,1431,52648737,52647613,55,54,1270090,1540,1775164191
AIchaholic,10,1154,1043,1043,1043,1043,71977396,71977396,71,71,57245075,955,1775164192
akaDaily,10,1154,1139,1139,1160,1160,282114821,282114821,45,45,110461438,1055,1775164194
Al Fareed,10,1154,452,452,452,452,2883701,2883701,11,11,560811,920,1775164198
Alaynie v2,9,1127,794,795,794,795,1799635,1799662,32,32,191317,,1775164201
Alch Pure,10,1154,128,128,128,128,6079958,6079958,61,61,6079942,,1775164204
Alch-mage,10,1154,1799,1799,1799,1799,249324842,249324842,80,80,104645283,,1775164207
Alchemy Coin,10,1156,151,151,151,151,59409855,59409853,76,76,59409853,200,1775164207
Alcheriana,11,1485,630,629,630,629,2271037,2270706,52,52,1672930,,1775164211
alchje,10,1154,2198,2198,2198,2198,347559684,347559684,124,124,257579452,1710,1775164212
Aleece,9,1000,1034,1035,1034,1035,3057913,3058067,56,56,1293810,,1775164215
Alexa X Sin,10,1154,1137,1137,1137,1137,35636014,35636014,62,62,7059393,795,1775164216
Aliaster,10,1154,3122,3122,3400,3400,5303134837,5303134837,129,129,1600001154,12275,1775164218
AlittleGlenn,10,1273,1869,1869,1874,1874,128323378,128323259,72,72,2032979,2865,1775164221
AllaNBATman,10,1154,404,404,404,404,24755545,24755545,52,52,614435,260,1775164222
Aloekine,10,1214,2291,2291,2377,2377,1315020104,1315020044,15,15,104455917,6135,1775164223
Alpine Cat,10,1154,2417,2417,2625,2625,2834694492,2834694492,28,28,268335829,8820,1775164224
AlrightInc,10,1300,2235,2235,2259,2259,475141707,475141561,40,40,93056739,3205,1775164225
AmberHerd,10,1193,1846,1846,1846,1846,91104479,91104440,65,65,6723504,,1775164229
Andi Grammar,9,1000,1230,1231,1230,1231,8903076,8903230,47,47,281747,1990,1775164230
Andreas Who,10,1154,1476,1476,1476,1476,69413294,69413294,31,31,13504319,,1775164234
andrew8766,10,1154,1097,1097,1101,1101,24846601,24846601,28,28,1715847,,1775164238
Andy 9hp,9,1137,2352,2353,2353,2354,204264225,204264242,112,112,44793907,2840,1775164241
Andy Grammer,9,1000,2247,2248,2247,2248,160787378,160787532,93,93,45002564,2930,1775164241
Angel Sarah,10,1157,470,470,470,470,4530778,4530775,57,57,2995007,440,1775164242
ANGELorDEMON,10,1154,204,204,204,204,4628823,4628823,14,14,4176570,,1775164244
Angels Own,10,1195,1637,1637,1645,1645,153825324,153825283,15,15,13548152,,1775164247
Angle Mortis,10,1167,624,624,624,624,9403658,9403645,24,24,2089160,,1775164251
AngryFishs,10,1241,1397,1397,1397,1397,55288058,55287971,71,71,13275865,1075,1775164252
AOD FFA 8,11,1481,426,425,426,425,3281341,3281014,53,52,1475339,,1775164255
Arc Eno,10,1166,1659,1659,1680,1680,290593863,290593851,26,26,15358383,2220,1775164257
Arch Senpai,10,1178,2478,2478,2613,2613,1534627116,1534627092,52,52,137503740,5075,1775164260
Arclueology,10,1154,647,647,647,647,142310757,142310757,67,67,13036313,1070,1775164263
Arkemyr,15,2457,1190,1185,1190,1185,4604914,4603611,77,76,2606976,1775,1775164263
Armed Man,10,1154,144,144,144,144,30065991,30065991,37,37,30065991,,1775164267
Arovi,10,1154,2435,2435,2655,2655,2617139924,2617139924,95,95,130941365,4135,1775164269
asfit,10,1154,792,792,792,792,67691203,67691203,36,36,1943897,615,1775164271
AshCatcherr,11,1505,684,683,691,690,99669681,99669330,37,37,13050390,515,1775164272
Astalith Jr,10,1351,634,634,634,634,6374266,6374069,59,59,4517615,,1775164277
astellar hc,10,1154,157,157,157,157,2799512,2799512,13,13,2794234,,1775164279
Astra Lunwel,10,1154,1599,1599,1599,1599,46809558,46809558,55,55,582651,1960,1775164281
At FM,10,1181,2138,2138,2161,2161,525425045,525425018,93,93,121023002,4075,1775164282
Atacks,10,1190,142,142,142,142,25555045,25555009,37,37,25555009,190,1775164285
AtlantisTop1,10,1314,2364,2364,2466,2466,1636758616,1636758456,91,91,221614431,4295,1775164285
Atlit Bet,10,1154,1434,1434,1434,1434,57721321,57721321,63,63,2435887,,1775164288
Aus Skilla,10,1276,2117,2117,2148,2148,537991221,537991099,66,66,15014228,4175,1775164289
Awberry,10,1154,2331,2331,2567,2567,4200001270,4200001270,15,15,200001270,4625,1775164290
Azure Agony,10,1200,2196,2196,2231,2231,560994291,560994245,23,23,104846181,,1775164293
AzusaRa,10,1199,1911,1911,1911,1911,162935803,162935758,22,22,1072178,2270,1775164294
